sced_timestamp,market,location,location_type,lmp
2023-01-01 13:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.39
2023-01-01 13:55:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.58
2023-01-01 14:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.04
2023-01-01 14:05:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.44
2023-01-01 14:10:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.71
2023-01-01 14:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.15
2023-01-01 14:20:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.58
2023-01-01 14:25:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.45
2023-01-01 14:30:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.48
2023-01-01 14:35:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.26
2023-01-01 14:40:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.88
2023-01-01 14:45:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.48
2023-01-01 14:47:34+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.89
2023-01-01 14:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.2
2023-01-01 14:55:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.76
2023-01-01 15:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.68
2023-01-01 15:05:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.93
2023-01-01 15:10:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.1
2023-01-01 15:15:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.86
2023-01-01 15:20:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.74
2023-01-01 15:25:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.78
2023-01-01 15:30:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.4
2023-01-01 15:35:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.3
2023-01-01 15:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.28
2023-01-01 15:45:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.39
